word	slice	sources	mfa	cv	tiny	tiny_ok_mfa	trans	trans_ok_mfa
biznesie	agreed	error-union	bʲ i z̪ n̪ ɛ ɕ ɛ	b i z n ɛ ɕ ɛ	bʲ i z̪ n̪ ɛ ɕ ɛ	True	bʲ i z̪ n̪ ɛ s̪ i	False
blair	mfa-only	error-union	b l ɛ r		b l a j r	False	b l a i r	False
bmw	mfa-only	error-union+unalignable	b ɛ m ɛ v u		b m f	False	b ɛ m ɛ v u	True
bourbona	disputed	disputed	b ɔ u r b ɔ n̪ a	b ɔ v r b ɔ n a	b ɔ u r b ɔ n̪ a	True	b ɔ u r b ɔ n̪ a	True
brudz	mfa-only	error-union	b r u t̪s̪		b r u d̪z̪	False	b r u t̪s̪	True
bucików	disputed	disputed	b u tɕ i k u f	b u t͡ɕ i k u v	b u tɕ i k u f	True	b u tɕ i k u f	True
cagliari	mfa-only	error-union	k a l j a rʲ i		t̪s̪ a ɡ ʎ a rʲ i	False	t̪s̪ a ɡ ʎ a rʲ i	False
caniboł	mfa-only	error-union	t̪s̪ a ɲ i b ɔ w		t̪s̪ a ɲ i b ɔ w	True	k a ɲ i b ɔ w	False
cappuccino	mfa-only	error-union	k a p u tʂ i n̪ ɔ		t̪s̪ a p u t̪s̪ i n̪ ɔ	False	t̪s̪ a p u t̪s̪ tɕ i n̪ ɔ	False
carol	mfa-only	error-union	t̪s̪ a r ɔ l		t̪s̪ a r ɔ l	True	k a r ɔ l	False
ceremonja	mfa-only	error-union	t̪s̪ ɛ r ɛ m ɔ n̪ j a		t̪s̪ ɛ r ɛ m ɔ n̪ j a	True	t̪s̪ ɛ r ɛ m ɔ ɲ j a	False
charing	mfa-only	error-union	x a rʲ i n̪ k		x a r i n̪ k	False	x a rʲ i n̪ k	True
cherokeego	agreed	error-union	x ɛ r ɔ k ɛ ɛ ɡ ɔ	x ɛ r ɔ k ɛ ɛ ɡ ɔ	x ɛ r ɔ k ɛ ɛ ɡ ɔ	True	x ɛ r ɔ k ɛ ɡ ɔ	False
ciekaw	disputed	disputed	tɕ ɛ k a f	t͡ɕ ɛ k a v	tɕ ɛ k a f	True	tɕ ɛ k a f	True
codzienne	disputed	disputed	t̪s̪ ɔ dʑ ɛ n̪ ɛ	t͡s ɔ d͡ʑ ɛ n n ɛ	t̪s̪ ɔ dʑ ɛ n̪ ɛ	True	t̪s̪ ɔ dʑ ɛ n̪ ɛ	True
codziennym	disputed	disputed	t̪s̪ ɔ dʑ ɛ n̪ ɨ m	t͡s ɔ d͡ʑ ɛ n n ɨ m	t̪s̪ ɔ dʑ ɛ n̪ ɨ m	True	t̪s̪ ɔ dʑ ɛ n̪ ɨ m	True
coleslaw	mfa-only	error-union+polyphonic	k ɔ l s̪ l ɔ w | k ɔ l ɛ s̪ w a f		t̪s̪ ɔ l ɛ s̪ l a f	False	k ɔ l ɛ s̪ l a f	False
coli	agreed	error-union	t̪s̪ ɔ ʎ i	t͡s ɔ l i	t̪s̪ ɔ ʎ i	True	k ɔ ʎ i	False
com	agreed	error-union	t̪s̪ ɔ m	t͡s ɔ m	t̪s̪ ɔ m	True	k ɔ m	False
conajmniej	mfa-only	error-union	k ɔ n̪ a j m ɲ ɛ j		t̪s̪ ɔ n̪ a j m ɲ ɛ j	False	k ɔ n̪ a j m ɲ ɛ j	True
coo	disputed	disputed+error-union+unalignable	ɔ	t͡s ɔ ɔ	k ɔ	False	k u	False
coplanda	mfa-only	error-union	t̪s̪ ɔ p l a n̪ d̪ a		t̪s̪ ɔ p l a n̪ d̪ a	True	k ɔ p l a n̪ d̪ a	False
cotygodniowych	agreed	error-union	t̪s̪ ɔ t̪ ɨ ɡ ɔ d̪ ɲ ɔ v ɨ x	t͡s ɔ t ɨ ɡ ɔ d ɲ ɔ v ɨ x	t̪s̪ ɔ t̪ ɨ ɡ ɔ d̪ ɲ ɔ v ɨ x	True	x ɔ t̪ ɨ ɡ ɔ d̪ ɲ ɔ v ɨ x	False
cross	mfa-only	error-union	r ɔ s̪		t̪s̪ r ɔ s̪	False	k r ɔ s̪	False
curling	mfa-only	error-union	k ɛ r ʎ i n̪ k		t̪s̪ u r ʎ i n̪ k	False	t̪s̪ u r ʎ i n̪ k	False
curry	mfa-only	error-union+unalignable	k a r ɨ		t̪s̪ u r ɨ	False	t̪s̪ u r ɨ	False
cv	mfa-only	error-union+unalignable	s̪ i vʲ i		t̪s̪ f	False	t̪s̪ ɛ v ɛ	False
czeczenii	disputed	disputed+error-union	tʂ ɛ tʂ ɛ n̪ j i	t ʂ ɛ t ʂ ɛ ɲ j i	tʂ ɛ tʂ ɛ ɲ j i	False	tʂ ɛ tʂ ɛ ɲ j i	False
dealer	mfa-only	error-union	d̪ i l ɛ r		d̪ ɛ l ɛ r	False	d̪ ɛ a l ɛ r	False
demonstracja	mfa-only	error-union	d̪ ɛ m ɔ n̪ s̪ t̪ r a t̪s̪ j a		d̪ ɛ m ɔ̃ s̪ t̪ r a t̪s̪ j a	False	d̪ ɛ m ɔ̃ s̪ t̪ r a t̪s̪ j a	False
dga	mfa-only	error-union+unalignable	d̪ ɛ ɡ j ɛ a		d̪ ɡ a	False	d̪ ɡ a	False
dopędziły	disputed	disputed	d̪ ɔ p ɛ ɲ dʑ i w ɨ	d ɔ p ɛ n d͡ʑ i w ɨ	d̪ ɔ p ɛ ɲ dʑ i w ɨ	True	d̪ ɔ p ɛ ɲ dʑ i w ɨ	True
dossier	mfa-only	error-union	d̪ ɔ s̪ i r		d̪ ɔ s̪ s̪ ɛ r	False	d̪ ɔ s̪ i r	True
dotycząym	mfa-only	error-union	d̪ ɔ t̪ ɨ tʂ ɔ ɨ m		d̪ ɔ t̪ ɨ tʂ ɔ̃ ɨ m	False	d̪ ɔ t̪ ɨ tʂ ɔ̃ ɨ m	False
dotykania	mfa-only	error-union	d̪ ɔ t̪ ɨ k a ɲ j a		d̪ ɔ t̪ ɨ k a ɲ a	False	d̪ ɔ t̪ ɨ k a ɲ j a	True
dróg	disputed	disputed	d̪ r u k	d r u ɡ	d̪ r u k	True	d̪ r u k	True
drżenie	disputed	disputed	d̪ r ʐ ɛ ɲ ɛ	d ʐ ɛ ɲ ɛ	d̪ r ʐ ɛ ɲ ɛ	True	d̪ r ʐ ɛ ɲ ɛ	True
drżysz	disputed	disputed	d̪ r ʐ ɨ ʂ	d ʐ ɨ ʂ	d̪ r ʐ ɨ ʂ	True	d̪ r ʐ ɨ ʂ	True
drżący	disputed	disputed	d̪ r ʐ ɔ n̪ t̪s̪ ɨ	d ʐ ɔ n t͡s ɨ	d̪ r ʐ ɔ n̪ t̪s̪ ɨ	True	d̪ r ʐ ɔ n̪ t̪s̪ ɨ	True
dubstep	mfa-only	error-union	d̪ a p s̪ t̪ ɛ p		d̪ u p s̪ t̪ ɛ p	False	d̪ u p s̪ t̪ ɛ p	False
duchowieństwo	mfa-only	error-union	d̪ u x ɔ vʲ ɛ ɲ s̪ t̪ f ɔ		d̪ u x ɔ vʲ ɛ j̃ s̪ t̪ f ɔ	False	d̪ u x ɔ vʲ ɛ j̃ s̪ t̪ f ɔ	False
duńskia	mfa-only	error-union	d̪ u j̃ s̪ c j a		d̪ u j̃ s̪ c a	False	d̪ u j̃ s̪ c j a	True
dwustronne	disputed	disputed	d̪ v u s̪ t̪ r ɔ n̪ ɛ	d v u s t r ɔ n n ɛ	d̪ v u s̪ t̪ r ɔ n̪ ɛ	True	d̪ v u s̪ t̪ r ɔ n̪ ɛ	True
dziennych	disputed	disputed	dʑ ɛ n̪ ɨ x	d͡ʑ ɛ n n ɨ x	dʑ ɛ n̪ ɨ x	True	dʑ ɛ n̪ ɨ x	True
dziewięćdziesiąt	disputed	disputed+error-union	dʑ ɛ vʲ ɛ ɲ dʑ ɛ ɕ ɔ n̪ t̪	d͡ʑ ɛ v j ɛ ɲ t͡ɕ d͡ʑ ɛ ɕ ɔ n t	dʑ ɛ vʲ ɛ ɲ tɕ dʑ ɛ ɕ ɔ n̪ t̪	False	dʑ ɛ vʲ ɛ ɲ tɕ dʑ ɛ ɕ ɔ n̪ t̪	False
eliasz	mfa-only	error-union	ɛ l j a ʂ		ɛ ʎ a ʂ	False	ɛ ʎ a ʂ	False
eliasza	mfa-only	error-union	ɛ l j a ʂ a		ɛ ʎ a ʂ a	False	ɛ ʎ a ʂ a	False
engel	mfa-only	error-union	ɛ ŋ ɡ ɛ l		ɛ n̪ ɡ ɛ l	False	ɛ ŋ ɡ ɛ l	True
englot	mfa-only	error-union	ɛ n̪ ɡ l ɔ t̪		ɛ ŋ ɡ l ɔ t̪	False	ɛ ŋ ɡ l ɔ t̪	False
etui	mfa-only	error-union	ɛ t̪ u i		ɛ d̪ u i	False	ɛ t̪ u i	True
faceci	mfa-only	error-union	f a t̪s̪ ɛ tɕ i		f a t̪s̪ ɛ tɕ i	True	f ɛ tɕ tɕ i	False
fair	mfa-only	error-union	f ɛ r		f a r	False	f a i r	False
fantazya	mfa-only	error-union	f a n̪ t̪ a z̪		f a n̪ t̪ a z̪ ɨ a	False	f a n̪ t̪ a z̪ ɨ a	False
franciszek	disputed	disputed+error-union	f r a ɲ tɕ i ʂ ɛ k	f r a n t͡ɕ i ʂ ɛ k	f r a n̪ tɕ i ʂ ɛ k	False	f r a ɲ tɕ i ʂ ɛ k	True
gdzieżby	mfa-only	error-union	ɡ dʑ ɛ ʐ b ɨ		ɡ dʑ ɛ ʐ b ɨ	True	ɡ dʑ ɛ ʂ b ɨ	False
georgia	mfa-only	error-union+unalignable	dʐ ɔ r dʐ j a		ɡ ɛ ɔ r ɟ j a	False	ɡ ɛ ɔ r ɟ j a	False
giąłeś	mfa-only	error-union	ɟ j ɔ w ɛ ɕ		ɟ ɔ w ɛ ɕ	False	ɟ ɔ w ɛ ɕ	False
gronkiewicz	mfa-only	error-union	ɡ r ɔ n̪ c ɛ vʲ i tʂ		ɡ r ɔ ŋ c ɛ vʲ i tʂ	False	ɡ r ɔ n̪ c ɛ vʲ i tʂ	True
guacamole	mfa-only	error-union	ɡ w a k a m ɔ l ɛ		ɡ u t̪s̪ a m ɔ l ɛ	False	ɡ u a t̪s̪ a m ɔ l ɛ	False
guy	disputed	disputed	ɡ u ɨ	ɡ u j	ɡ u ɨ	True	ɡ u ɨ	True
harmonia	mfa-only	error-union	x a r m ɔ ɲ j a		x a r m ɔ ɲ a	False	x a r m ɔ ɲ j a	True
havla	mfa-only	error-union	x a w l a		x a v l a	False	x a v l a	False
heritage	mfa-only	error-union	x ɛ rʲ i t̪ a ɡ ɛ		x ɛ r i t̪ a ɡ ɛ	False	x ɛ rʲ i t̪ a ɡ ɛ	True
homofobii	mfa-only	error-union+unalignable	x ɔ m ɔ f ɔ bʲ a j i		x ɔ m ɔ f ɔ bʲ j i	False	x ɔ m ɔ f ɔ bʲ a j i	True
illinois	mfa-only	error-union	i ʎ i n̪ ɔ i		i ʎ i n̪ ɔ i s̪	False	i ʎ i n̪ ɔ i s̪	False
ilustracye	mfa-only	error-union	i l u s̪ t̪ r a t̪s̪ ɨ		i l u s̪ t̪ r a t̪s̪ ɨ ɛ	False	i l u s̪ t̪ r a t̪s̪ ɨ	True
imiennego	disputed	disputed	i mʲ ɛ n̪ ɛ ɡ ɔ	i m j ɛ n n ɛ ɡ ɔ	i mʲ ɛ n̪ ɛ ɡ ɔ	True	i mʲ ɛ n̪ ɛ ɡ ɔ	True
irlandzki	disputed	disputed	i r l a n̪ t̪s̪ c i	i r l a n d s kʲ i	i r l a n̪ t̪s̪ c i	True	i r l a n̪ t̪s̪ c i	True
irlandzkiego	disputed	disputed	i r l a n̪ t̪s̪ c ɛ ɡ ɔ	i r l a n d s kʲ ɛ ɡ ɔ	i r l a n̪ t̪s̪ c ɛ ɡ ɔ	True	i r l a n̪ t̪s̪ c ɛ ɡ ɔ	True
irlandzką	disputed	disputed	i r l a n̪ t̪s̪ k ɔ̃	i r l a n d s k ɔ̃	i r l a n̪ t̪s̪ k ɔ̃	True	i r l a n̪ t̪s̪ k ɔ̃	True
izaak	disputed	disputed+error-union	i z̪ a k	i z a a k	i z̪ a a k	False	i z̪ a k	True
jakimsi	mfa-only	error-union	j a c i m s̪ i		j a c i m ɕ i	False	j a c i m s̪ i	True
jarovcach	mfa-only	error-union	j a r ɔ vʲ t̪s̪ a x		j a r ɔ f t̪s̪ a x	False	j a r ɔ f t̪s̪ a x	False
jesienne	disputed	disputed	j ɛ ɕ ɛ n̪ ɛ	j ɛ ɕ ɛ n n ɛ	j ɛ ɕ ɛ n̪ ɛ	True	j ɛ ɕ ɛ n̪ ɛ	True
jugosławii	mfa-only	error-union	j u ɡ ɔ s̪ w a vʲ j i		j u ɡ ɔ s̪ w a vʲ i	False	j u ɡ ɔ s̪ w a vʲ j i	True
jutrzenkę	mfa-only	error-union	j u t̪ ʂ ɛ n̪ k ɛ		u t̪ ʂ ɛ n̪ k ɛ	False	j u t̪ ʂ ɛ n̪ k ɛ	True
kadrów	disputed	disputed	k a d̪ r u f	k a d r u v	k a d̪ r u f	True	k a d̪ r u f	True
kandzior	mfa-only	error-union	k a ɲ dʑ ɔ r		k a n̪ dʑ ɔ r	False	k a ɲ dʑ ɔ r	True
kasetce	disputed	disputed	k a s̪ ɛ t̪s̪ ɛ	k a s ɛ t t͡s ɛ	k a s̪ ɛ t̪s̪ ɛ	True	k a s̪ ɛ t̪s̪ ɛ	True
klebsiella	mfa-only	error-union	k l ɛ b ɕ ɛ l a		k l ɛ p ɕ ɛ l a	False	k l ɛ p ɕ ɛ l a	False
klombie	mfa-only	error-union	k l ɔ m bʲ i		k l ɔ m bʲ ɛ	False	k l ɔ m bʲ ɛ	False
klęczkach	agreed	error-union	k l ɛ n̪ tʂ k a x	k l ɛ n t ʂ k a x	k l ɛ tʂ k a x	False	k l ɛ n̪ tʂ k a x	True
kolońską	mfa-only	error-union	k ɔ l ɔ ɲ s̪ k ɔ̃		k ɔ l ɔ j̃ s̪ k ɔ̃	False	k ɔ l ɔ j̃ s̪ k ɔ̃	False
konfederacyjna	agreed	error-union	k ɔ n̪ f ɛ d̪ ɛ r a t̪s̪ ɨ j n̪ a	k ɔ n f ɛ d ɛ r a t͡s ɨ j n a	k ɔ n̪ f ɛ d̪ ɛ r a t̪s̪ ɨ j n̪ a	True	k ɔ̃ f ɛ d̪ ɛ r a t̪s̪ ɨ j n̪ a	False
konflikt	disputed	disputed	k ɔ̃ f ʎ i k t̪	k ɔ n f l i k t	k ɔ̃ f ʎ i k t̪	True	k ɔ̃ f ʎ i k t̪	True
konkubin	mfa-only	error-union	k ɔ ŋ k u bʲ i n̪		k ɔ n̪ k u bʲ i n̪	False	k ɔ ŋ k u bʲ i n̪	True
konkubinat	mfa-only	error-union	k ɔ n̪ k u bʲ i n̪ a t̪		k ɔ n̪ k u bʲ i n̪ a t̪	True	k ɔ ŋ k u bʲ i n̪ a t̪	False
konsulem	mfa-only	error-union	k ɔ̃ s̪ u l ɛ m		k ɔ n̪ s̪ u l ɛ m	False	k ɔ̃ s̪ u l ɛ m	True
konsultacyjną	disputed	disputed+error-union	k ɔ̃ s̪ u l t̪ a t̪s̪ ɨ j n̪ ɔ̃	k ɔ n s u l t a t͡s ɨ j n ɔ̃	k ɔ s̪ u l t̪ a t̪s̪ ɨ j n̪ ɔ̃	False	k ɔ̃ s̪ u l t̪ a t̪s̪ ɨ j n̪ ɔ̃	True
konsumentka	mfa-only	error-union	k ɔ n̪ s̪ u m ɛ n̪ t̪ k a		k ɔ s̪ u m ɛ n̪ t̪ k a	False	k ɔ n̪ s̪ u m ɛ n̪ t̪ k a	True
kontrdemonstracja	mfa-only	error-union	k ɔ n̪ t̪ r d̪ ɛ m ɔ n̪ s̪ t̪ r a t̪s̪ j a		k ɔ n̪ t̪ r d̪ ɛ m ɔ̃ s̪ t̪ r a t̪s̪ j a	False	k ɔ n̪ t̪ r d̪ ɛ m ɔ n̪ s̪ t̪ r a t̪s̪ j a	True
konwencjonalnych	mfa-only	error-union	k ɔ̃ v ɛ n̪ t̪s̪ j ɔ n̪ a l n̪ ɨ x		k ɔ v ɛ n̪ t̪s̪ j ɔ n̪ a l n̪ ɨ x	False	k ɔ̃ v ɛ n̪ t̪s̪ j ɔ n̪ a l n̪ ɨ x	True
krzywd	disputed	disputed+error-union+unalignable	k ʂ ɨ v d̪ ɛ	k ʂ ɨ f t	k ʂ ɨ v t̪	False	k ʂ ɨ f t̪	False
kręcił	disputed	disputed	k r ɛ ɲ tɕ i w	k r ɛ n t͡ɕ i w	k r ɛ ɲ tɕ i w	True	k r ɛ ɲ tɕ i w	True
lacrosse	mfa-only	error-union	l a k r ɔ s̪		l a t̪s̪ r ɔ s̪ ɛ	False	l a k r ɔ s̪	True
lesbijki	agreed	error-union	l ɛ s̪ bʲ i j c i	l ɛ s b i j kʲ i	l ɛ s̪ bʲ i j c i	True	l ɛ z̪ bʲ i j c i	False
lhasa	mfa-only	error-union	l a s̪ a		l x a s̪ a	False	l x a s̪ a	False
liaoyangu	mfa-only	error-union	ʎ a n̪ ɡ u		ʎ i a ɔ j a n̪ ɡ u	False	ʎ a ɔ ɨ a n̪ ɡ u	False
lier	mfa-only	error-union	ʎ i r		ʎ ɛ r	False	ʎ ɛ r	False
liniowy	mfa-only	error-union	ʎ i ɲ j ɔ v ɨ		ʎ i ɲ ɔ v ɨ	False	ʎ i ɲ ɔ v ɨ	False
makes	mfa-only	error-union+unalignable	m ɛ j k s̪		m a k ɛ s̪	False	m a k ɛ s̪	False
mass	disputed	disputed	m a s̪	m a s s	m a s̪	True	m a s̪	True
materyały	mfa-only	error-union	m a t̪ ɛ r ɨ a w ɨ		m a t̪ ɛ r ɨ a w ɨ	True	m a t̪ ɛ rʲ w ɨ	False
megaaferę	mfa-only	error-union	m ɛ ɡ a f ɛ r ɛ		m ɛ ɡ f ɛ r ɛ	False	m ɛ ɡ a f ɛ r ɛ	True
menżyk	mfa-only	error-union	m ɛ̃ ʐ ɨ k		m ɛ n̪ ʐ ɨ k	False	m ɛ̃ ʐ ɨ k	True
miau	mfa-only	error-union	mʲ a w		mʲ a u	False	mʲ a u	False
microsoft	mfa-only	error-union+unalignable	m a j k r ɔ s̪ ɔ f t̪		mʲ i k r ɔ s̪ ɔ f t̪	False	mʲ i k r ɔ s̪ ɔ f t̪	False
mienszewików	mfa-only	error-union	mʲ ɛ̃ ʂ ɛ vʲ i k u f		mʲ ɛ̃ n̪ ʂ ɛ vʲ i k u f	False	mʲ ɛ̃ ʂ ɛ vʲ i k u f	True
monsunowy	mfa-only	error-union	m ɔ n̪ s̪ u n̪ ɔ v ɨ		m ɔ̃ s̪ u n̪ ɔ v ɨ	False	m ɔ n̪ s̪ u n̪ ɔ v ɨ	True
moseley	mfa-only	error-union	m ɔ s̪ ɛ l i		m ɔ s̪ ɛ l ɛ ɨ	False	m ɔ s̪ ɛ l ɛ j	False
mottem	disputed	disputed	m ɔ t̪ ɛ m	m ɔ t t ɛ m	m ɔ t̪ ɛ m	True	m ɔ t̪ ɛ m	True
mps	mfa-only	error-union+unalignable	ɛ m p ɛ ɛ s̪		m p s̪	False	ɛ m p ɛ s̪	False
multiinstrumentalistka	mfa-only	error-union	m u l tʲ i i n̪ s̪ t̪ r u m ɛ n̪ t̪ a ʎ i s̪ t̪ k a		m u l tʲ i n̪ s̪ t̪ r u m ɛ n̪ t̪ a ʎ i s̪ t̪ k a	False	m u l tʲ i i n̪ s̪ t̪ r u m ɛ n̪ t̪ a ʎ i s̪ c i	False
munyama	mfa-only	error-union	m u n̪ ɨ a m a		m u n̪ ɨ m a	False	m u n̪ ɨ a m a	True
mógłby	agreed	polyphonic	m u ɡ b ɨ | m u ɡ w b ɨ	m u ɡ w b ɨ	m u ɡ w b ɨ	True	m u ɡ w b ɨ	True
najpierwej	disputed	disputed+error-union	n̪ a j pʲ ɛ r f ɛ j	n a j p j ɛ r v ɛ j	n̪ a j pʲ ɛ r f ɛ j	True	n̪ a j pʲ ɛ r v ɛ j	False
napoleońską	mfa-only	error-union	n̪ a p ɔ l ɛ ɔ ɲ s̪ k ɔ̃		n̪ a p ɔ l ɛ ɔ j̃ s̪ k ɔ̃	False	n̪ a p ɔ l ɛ ɔ j̃ s̪ k ɔ̃	False
nauczania	disputed	disputed+error-union	n̪ a u tʂ a ɲ j a	n a f t ʂ a ɲ a	n̪ a u tʂ a ɲ a	False	n̪ a u tʂ a ɲ a	False
nauczy	disputed	disputed	n̪ a u tʂ ɨ	n a f t ʂ ɨ	n̪ a u tʂ ɨ	True	n̪ a u tʂ ɨ	True
niebiańska	mfa-only	error-union	ɲ ɛ bʲ a ɲ s̪ k a		ɲ ɛ bʲ a j̃ s̪ k a	False	ɲ ɛ bʲ a j̃ s̪ k a	False
nieuniknione	disputed	disputed	ɲ ɛ u ɲ i k ɲ ɔ n̪ ɛ	ɲ ɛ v ɲ i k ɲ ɔ n ɛ	ɲ ɛ u ɲ i k ɲ ɔ n̪ ɛ	True	ɲ ɛ u ɲ i k ɲ ɔ n̪ ɛ	True
niezamienne	disputed	disputed	ɲ ɛ z̪ a mʲ ɛ n̪ ɛ	ɲ ɛ z a m j ɛ n n ɛ	ɲ ɛ z̪ a mʲ ɛ n̪ ɛ	True	ɲ ɛ z̪ a mʲ ɛ n̪ ɛ	True
nszz	mfa-only	error-union+unalignable	ɛ n̪ ɛ s̪ z̪ ɛ t̪ z̪ ɛ t̪		n̪ ʂ s̪	False	n̪ ʂ	False
ntv	mfa-only	error-union+unalignable	ɛ n̪ t̪ ɛ v ɛ		n̪ t̪ f	False	ɛ n̪ t̪ ɛ v u	False
obernzell	mfa-only	error-union	ɔ b ɛ r n̪ z̪ ɛ l		ɔ b ɛ r ɔ z̪ ɛ l	False	ɔ b ɛ r n̪ z̪ ɛ l	True
obustronne	disputed	disputed	ɔ b u s̪ t̪ r ɔ n̪ ɛ	ɔ b u s t r ɔ n n ɛ	ɔ b u s̪ t̪ r ɔ n̪ ɛ	True	ɔ b u s̪ t̪ r ɔ n̪ ɛ	True
ochronnym	disputed	disputed	ɔ x r ɔ n̪ ɨ m	ɔ x r ɔ n n ɨ m	ɔ x r ɔ n̪ ɨ m	True	ɔ x r ɔ n̪ ɨ m	True
oddychając	disputed	disputed	ɔ d̪ ɨ x a j ɔ n̪ t̪s̪	ɔ d d ɨ x a j ɔ n t͡s	ɔ d̪ ɨ x a j ɔ n̪ t̪s̪	True	ɔ d̪ ɨ x a j ɔ n̪ t̪s̪	True
oddźwięk	agreed	error-union	ɔ d̪ dʑ vʲ ɛ ŋ k	ɔ d d͡ʑ v j ɛ ŋ k	ɔ dʑ vʲ ɛ ŋ k	False	ɔ dʑ vʲ ɛ ŋ k	False
odessie	disputed	disputed+error-union	ɔ d̪ ɛ s̪ i	ɔ d ɛ s ɕ ɛ	ɔ d̪ ɛ s̪ ɛ	False	ɔ d̪ ɛ s̪ i	True
odmienny	disputed	disputed	ɔ d̪ mʲ ɛ n̪ ɨ	ɔ d m j ɛ n n ɨ	ɔ d̪ mʲ ɛ n̪ ɨ	True	ɔ d̪ mʲ ɛ n̪ ɨ	True
